1.561618367084941818e-02 7.994718457329335060e-01 7.166576543288741274e-02 1.356728017204332547e-03
1.584351993471392120e-02 8.666296989978861109e-01 7.359699976642516961e-02 1.376609428826926218e-03
1.607438005539934059e-02 8.692335181800636690e-01 6.741179216131522323e-02 1.396797016888755337e-03
1.630881538005540463e-02 7.227381843833757813e-01 4.953945500065492363e-02 1.417295273538232269e-03
1.654687805101266729e-02 8.400604959429222029e-01 6.137133154900367010e-02 1.438108760493735051e-03
1.678862101737994481e-02 7.982364466282172444e-01 5.529983412346930333e-02 1.459242110078493330e-03
1.703409804682121456e-02 8.214961615436465747e-01 5.740323878574458277e-02 1.480700026272584744e-03
1.728336373751451424e-02 8.356758091275149347e-01 5.724666769699904290e-02 1.502487285782321469e-03
1.753647353029559944e-02 7.332471395759490029e-01 4.820912935573606894e-02 1.524608739127354153e-03
1.779348372098901038e-02 6.619872336775504129e-01 4.224895647893295303e-02 1.547069311745769699e-03
1.805445147292927474e-02 5.441137524648979040e-01 3.219792548570631768e-02 1.569874005117521606e-03
1.831943482967508113e-02 5.657490812576251304e-01 3.350374746577244184e-02 1.593027897906501870e-03
1.858849272791922302e-02 4.903705887178718137e-01 2.757776287349099006e-02 1.616536147121586196e-03
1.886168501059716854e-02 3.750398215780197941e-01 1.968023318242188152e-02 1.640403989297001220e-03
1.913907244019720510e-02 2.958867699682317109e-01 1.490670894982626220e-02 1.664636741692343547e-03
1.942071671227509067e-02 2.191719027496850380e-01 1.040837688332008418e-02 1.689239803512622472e-03
1.970668046917625413e-02 1.676668515225457345e-01 8.092611337910466524e-03 1.714218657148684419e-03
1.999702731396854616e-02 1.182104875257060511e-01 5.945748882542473829e-03 1.739578869438387259e-03
2.029182182458868708e-02 8.247229813656800634e-02 4.260567919688886505e-03 1.765326092948924170e-03
2.059112956820551704e-02 5.652285733744458890e-02 3.195395062294150920e-03 1.791466067280669556e-03
2.089501711580331669e-02 3.460840988787924899e-02 2.114954506052695894e-03 1.818004620392975725e-03
2.120355205698830695e-02 3.050290241170009950e-02 1.974415037110896585e-03 1.844947669952307599e-03
2.151680301502175915e-02 3.353749144357515144e-02 1.943815177350335585e-03 1.872301224703161720e-03
2.183483966208303942e-02 4.265159274384517502e-02 2.260396499668674078e-03 1.900071385862203005e-03
2.215773273476583441e-02 5.591644733201639461e-02 2.695069828425906023e-03 1.928264348536052296e-03
2.248555404981125369e-02 5.963642464535347937e-02 2.659717280550123741e-03 1.956886403163209543e-03
2.281837652008103859e-02 6.614916931804092071e-02 2.767221941353317609e-03 1.985943936980563446e-03
2.315627417077469399e-02 7.102364118281181971e-02 2.809782568072244878e-03 2.015443435514978256e-03
2.349932215589387377e-02 7.129269738142608726e-02 2.688506879586339757e-03 2.045391484100484228e-03
2.384759677495803046e-02 6.558733163554719692e-02 2.427531846219274907e-03 2.075794769421534895e-03
2.420117548997459747e-02 7.067944992927435721e-02 2.596207274854586255e-03 2.106660081082895822e-03
