#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   6.35830799   0.00000000
  0.00000000   6.35830799   0.00000000
  0.00000000   5.14001513   0.00000000
148.07979506   5.14001513   0.00000000
148.07979506   3.19840211   0.00000000
345.86048078   3.19840211   0.00000000
345.86048078   3.84162155   0.00000000
464.93249173   3.84162155   0.00000000
464.93249173   4.45402871   0.00000000
591.89780346   4.45402871   0.00000000
591.89780346   2.82866807   0.00000000
752.95863096   2.82866807   0.00000000
752.95863096   1.00220781   0.00000000
1030.76090068   1.00220781   0.00000000
1030.76090068   2.61665856   0.00000000
1148.41899982   2.61665856   0.00000000
1148.41899982   4.30474002   0.00000000
1240.89495649   4.30474002   0.00000000
1240.89495649   5.81498645   0.00000000
1259.56224025   5.81498645   0.00000000
1259.56224025   3.99478468   0.00000000
1369.36539425   3.99478468   0.00000000
1369.36539425   3.00073152   0.00000000
1394.36617259   3.00073152   0.00000000
1394.36617259   2.19738638   0.00000000
1404.36617259   2.19738638   0.00000000
