#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     69.6176149982958       6.358307994207                    0
    148.079795064305     49.8642676108535     5.14001512555765                    0
    197.780685717201     49.0846133086446     3.19840210664899                    0
    119.072010950435     42.0978413288552     3.84162155279954                    0
     126.96531173139     40.5667023271973     4.45402870742921                    0
    161.060827499208     38.9653271134198      2.8286680683443                    0
    277.802269715937     36.8355787894987     1.00220781026738                    0
    117.658099142076     25.8701694442098     2.61665855854773                    0
    92.4759566744167     6.74268709111344      4.3047400165346                    0
    18.6672837514661     2.83529640222698     5.81498644964211                    0
    109.803154000638     2.02165282998267     3.99478467547255                    0
    25.0007783410635     5.99926125854641     3.00073152328096                    0
                   0                    0     2.19738638172957                    0
