#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0     30.5549152302591     6.26923844133142                    0
    189.429764608188     30.2894542613577     5.53881448626976                    0
    321.120911260018     47.3242069577856     4.50091613823144                    0
     567.94916755237     81.0228300856085      5.3292640866492                    0
     588.70610839805     95.5138595170159     5.45782918222793                    0
    417.897998438492     99.9453965789018      5.0269641980249                    0
    423.035485424855      12.582980779848     5.53602900624277                    0
    109.299331083319     14.3045761974953      5.2150455930179                    0
    40.4986804775835     9.01817710734645     4.56748073753362                    0
     18.593494872505     1.41784440368048     6.13193286342775                    0
    109.963229441585      2.2796758870474     4.09519043131404                    0
    25.0439122509244     5.83675885401504     3.00691544020154                    0
                   0                    0     2.19997688520772                    0
