# REF_L Run 199431
# X Y dY dX
0.00812261 1.04257 0.0705432 0.000220705
0.00828506 0.939721 0.0614288 0.00022512
0.00845076 0.999832 0.0585239 0.000229622
0.00861978 0.942092 0.0530053 0.000234214
0.00879217 0.907365 0.0498875 0.000238899
0.00896802 1.05035 0.050211 0.000243677
0.00914738 0.950209 0.0453447 0.00024855
0.00933032 1.04244 0.0440835 0.000253521
0.00951693 0.985909 0.0396858 0.000258592
0.00970727 1.08297 0.0795853 0.000262274
0.00990141 1.0439 0.0710303 0.00026752
0.0100994 0.943405 0.0651617 0.00027287
0.0103014 0.976484 0.0629614 0.000278328
0.0105075 1.04747 0.0606674 0.000283894
0.0107176 0.955141 0.0547714 0.000289572
0.010932 0.963946 0.0512265 0.000295364
0.0111506 0.901268 0.0472804 0.000301271
0.0113736 0.953078 0.0450289 0.000307296
0.0116011 1.00504 0.0442878 0.000313442
0.0118331 0.950096 0.0518403 0.000319711
0.0120698 1.09122 0.0964985 0.000332171
0.0123112 1.07128 0.0919837 0.000338814
0.0125574 0.967943 0.0821147 0.000345591
0.0128085 0.908912 0.0760886 0.000352502
0.0130647 1.09121 0.0867261 0.000359552
0.013326 1.05077 0.0810275 0.000366743
0.0135925 0.963383 0.0739343 0.000374078
0.0138644 0.948028 0.0706153 0.00038156
0.0141417 0.903969 0.0666325 0.000389191
0.0144245 0.79524 0.0585958 0.000396975
0.014713 0.391958 0.0323533 0.000404914
0.0150072 0.133615 0.0148137 0.000413013
0.0153074 0.100985 0.0118644 0.000421273
0.0156135 0.08536 0.00581838 0.000429698
0.0159258 0.0415724 0.00306506 0.000439538
0.0162443 0.0123681 0.00138627 0.000448329
0.0165692 0.00817867 0.000994248 0.000457295
0.0169006 0.0130352 0.00135455 0.000466441
0.0172386 0.0150479 0.00135918 0.00047577
0.0175834 0.01339 0.00121468 0.000485285
0.017935 0.00731845 0.000771337 0.000494991
0.0182937 0.00306095 0.000530973 0.000504891
0.0186596 0.00153293 0.000439643 0.000514989
0.0190328 0.00349352 0.000499517 0.000525289
0.0194135 0.00356376 0.000450524 0.000535794
0.0198017 0.00331322 0.00044534 0.00054651
0.0201978 0.00196099 0.000322974 0.00055744
0.0206017 0.00220347 0.00029288 0.000568589
0.0210138 0.00162724 0.000273433 0.000579961
0.021434 0.00192389 0.000286136 0.00059156
0.0218627 0.00182702 0.000276376 0.000603391
0.0223 0.00204733 0.000261167 0.000615459
0.022746 0.00130088 0.000117549 0.000627599
0.0232009 0.000883846 8.968e-05 0.000640151
0.0236649 0.00126076 0.000102803 0.00065313
0.0241382 0.00127618 8.53094e-05 0.000666013
0.024621 0.00118008 7.59206e-05 0.000679333
0.0251134 0.00106567 6.93616e-05 0.00069292
0.0256157 0.00104471 6.79068e-05 0.000706778
0.026128 0.000988705 6.42406e-05 0.000720914
0.0266505 0.00100394 6.20112e-05 0.000735332
0.0271835 0.000959876 6.00765e-05 0.000750038
0.0277272 0.000904967 5.74856e-05 0.000765039
0.0282818 0.000894924 5.5671e-05 0.00078034
0.0288474 0.000843908 5.38545e-05 0.000795947
0.0294243 0.000779557 5.07546e-05 0.000811866
0.0300128 0.000670159 4.6271e-05 0.000828103
0.0306131 0.000609314 4.1841e-05 0.000844665
0.0312253 0.000622068 4.37382e-05 0.000861558
0.0318498 0.000587085 4.19034e-05 0.00087879
0.0324868 0.000469905 3.83864e-05 0.000896365
0.0331366 0.000474428 3.72855e-05 0.000914293
0.0337993 0.000446902 3.78502e-05 0.000932578
0.0344753 0.000359805 3.22269e-05 0.00095123
0.0351648 0.000356792 3.17332e-05 0.000970255
0.0358681 0.000300841 3.02472e-05 0.00098966
0.0365855 0.000321673 2.97347e-05 0.00100945
0.0373172 0.000249843 2.60302e-05 0.00102964
0.0380635 0.0002577 2.67452e-05 0.00105023
0.0388248 0.000200237 2.43074e-05 0.00107124
0.0396013 0.000205229 2.06926e-05 0.00109266
0.0403933 0.000169477 2.00328e-05 0.00111452
0.0412012 0.000133301 1.87919e-05 0.00113681
0.0420252 0.000146358 1.80162e-05 0.00115954
0.0428657 0.000122315 1.67495e-05 0.00118274
0.043723 0.000147156 1.91742e-05 0.00120639
0.0445975 0.000108389 1.91368e-05 0.00123052
0.0454894 0.000109415 1.06465e-05 0.00125513
0.0463992 0.000122404 1.06929e-05 0.00128023
0.0473272 0.000126364 1.07744e-05 0.00131128
0.0482737 0.000120321 1.02918e-05 0.00133195
0.0492392 0.000122862 1.07561e-05 0.00136426
0.050224 0.0001298 1.11665e-05 0.00139154
0.0512285 0.000123299 1.12891e-05 0.00141937
0.0522531 0.000116568 1.03875e-05 0.00144776
0.0532981 0.000127016 1.05951e-05 0.00147672
0.0543641 0.000117477 1.01482e-05 0.00150625
0.0554514 0.000124066 1.05292e-05 0.00153638
0.0565604 0.000127527 1.07798e-05 0.0015671
0.0576916 0.000128619 1.04466e-05 0.00159845
0.0588454 0.000123255 1.03595e-05 0.00163041
0.0600223 0.000121318 9.98976e-06 0.00166302
0.0612228 0.000120337 9.53415e-06 0.00169628
0.0624472 0.000112212 9.66383e-06 0.00173021
